[RUN #0 5 100]
237 98 699 -895 -428
786 -510 -419 30 -129
207 -868 877 -591 281
39 127 968 -800 294
443 -101 -668 -664 502
-74 -708 109 -763 -227
834 462 542 101 -909
-299 113 -81 850 -476
-583 261 -369 -690 23
-479 -773 576 -977 -325
-908 165 325 -209 569
158 786 165 -936 -937
-91 -341 401 -917 810
498 -488 221 -126 809
319 -639 473 852 -863
-904 953 438 -775 -295
-102 155 -825 -340 665
-925 -634 -163 874 -85
84 -66 503 488 -14
-230 560 823 -289 362
51 -878 -859 -980 -603
-297 559 -895 252 -718
981 891 -25 541 563
-365 341 -378 -314 -271
-278 598 594 -781 358
-978 21 807 -184 794
976 -73 656 897 893
-965 12 158 -124 453
-277 799 -395 -611 836
775 948 -554 -879 -410
-746 -706 -993 -788 -438
-75 -763 89 -179 -592
278 562 -194 321 -428
-150 -949 -987 529 373
277 -395 -736 -53 -40
948 -345 -568 268 -118
655 -954 -536 -445 634
783 608 54 391 -633
977 937 -869 -728 -14
-53 6 251 -929 -320
-751 -489 -118 643 -451
716 625 -794 -780 -181
-494 537 440 -591 800
315 -726 -810 -615 -512
-546 -187 816 117 846
-37 566 312 -188 334
-813 627 310 -265 178
-12 987 61 45 -892
-308 -109 655 718 -920
-116 388 -469 -932 578
-345 -675 269 -82 995
177 -404 -40 888 85
316 -462 999 465 414
798 5 -991 -322 -364
814 728 287 -569 -806
575 -97 -582 410 -46
704 901 -67 -451 109
608 -931 4 -865 -64
990 -401 -626 258 978
-427 -717 657 378 -498
-378 500 656 -700 -910
-704 -305 -263 -185 -792
-686 -147 -863 -231 212
[RUN #1 5 100]
545 325 -818 -927 -219
-641 -59 164 -16 -515
-76 -704 3 -606 751
57 615 284 875 -770
974 -158 -235 743 482
-472 406 73 978 534
-112 286 857 -496 435
-811 -826 -138 -77 227
760 310 390 -114 -674
567 508 622 -923 264
480 768 3 -539 209
675 7 -758 776 -847
-44 492 -52 64 -978
282 -224 -960 -348 -831
-114 -321 -211 -312 -246
-194 204 -645 288 -693
-281 101 300 -981 815
730 -898 329 -739 -158
646 939 687 158 499
893 271 396 -804 -632
359 791 -740 360 435
-388 172 741 -531 -163
911 -100 433 -38 28
-345 -83 -757 375 -402
294 -880 508 950 -762
721 0 143 -196 518
836 -602 406 -653 -593
-118 -375 -75 809 538
326 -283 -996 -631 -695
832 861 -47 191 -241
611 -507 -506 -603 -653
991 -788 491 -917 -523
-667 572 -413 -539 937
796 -747 -628 -662 -724
-700 455 -929 -301 -433
658 -221 426 489 -178
521 -536 -511 -300 -150
-19 -347 511 -368 896
-953 714 665 -482 -508
-654 965 334 66 -513
-614 297 760 556 225
-471 984 880 876 -960
-476 -669 -394 -948 427
911 -150 -262 245 -700
-934 -299 -696 -401 -851
779 -383 -893 594 877
-101 -928 410 794 318
-708 -88 -771 -921 253
531 -417 594 37 -551
763 -888 870 -397 -976
